Year,Country_Region,AI_Index_Score,Investment_Billions_USD,Published_Papers_Thousands,AI_Talent_Pool_Thousands,Primary_Focus_Area
2015,United States,47.9,4.98,14.4,76.6,Generative AI & Enterprise
2015,China,32.6,1.83,18.3,96.8,Computer Vision & Smart City
2015,United Kingdom,29.1,0.83,5.7,22.9,AI Ethics & Deep Learning
2015,Germany,24.4,0.51,4.9,18.3,Industrial Automation & Robotics
2015,France,20.9,0.38,3.8,14.3,Open Source Models & Math Foundations
2015,Japan,26.4,0.61,4.6,20.3,Robotics & Hardware Integration
2015,South Korea,22.1,0.39,3.7,13.5,Semiconductors & Electronics AI
2015,Singapore,18.7,0.1,1.0,3.6,FinTech & GovTech Integration
2015,India,15.3,0.31,6.1,122.2,IT Services & AI Talent Export
2015,Canada,20.4,0.39,3.4,11.7,Reinforcement Learning & Health
2015,Israel,19.5,0.49,2.1,7.8,Cybersecurity & Autonomous Tech
2015,Australia,15.6,0.2,2.4,9.3,Mining & Climate Applications
2015,Brazil,10.1,0.05,1.8,25.4,AgriTech & FinTech
2015,United Arab Emirates,11.8,0.1,0.3,2.0,Sovereign LLMs & Smart Gov
2016,United States,56.1,6.79,17.2,93.5,Generative AI & Enterprise
2016,China,34.8,2.34,20.7,108.5,Computer Vision & Smart City
2016,United Kingdom,29.7,0.95,6.0,24.0,AI Ethics & Deep Learning
2016,Germany,24.8,0.58,5.1,19.1,Industrial Automation & Robotics
2016,France,23.2,0.47,4.3,16.3,Open Source Models & Math Foundations
2016,Japan,26.4,0.68,4.7,20.9,Robotics & Hardware Integration
2016,South Korea,25.1,0.49,4.2,15.7,Semiconductors & Electronics AI
2016,Singapore,19.3,0.13,1.2,4.0,FinTech & GovTech Integration
2016,India,15.6,0.35,6.3,127.9,IT Services & AI Talent Export
2016,Canada,21.9,0.46,3.7,12.8,Reinforcement Learning & Health
2016,Israel,20.4,0.57,2.3,8.4,Cybersecurity & Autonomous Tech
2016,Australia,17.1,0.24,2.7,10.4,Mining & Climate Applications
2016,Brazil,10.3,0.06,1.9,26.4,AgriTech & FinTech
2016,United Arab Emirates,13.4,0.14,0.4,2.4,Sovereign LLMs & Smart Gov
2017,United States,57.5,8.12,18.2,100.4,Generative AI & Enterprise
2017,China,38.8,3.15,24.7,128.0,Computer Vision & Smart City
2017,United Kingdom,30.0,1.07,6.1,25.0,AI Ethics & Deep Learning
2017,Germany,27.8,0.72,5.8,22.1,Industrial Automation & Robotics
2017,France,23.8,0.54,4.5,17.2,Open Source Models & Math Foundations
